[32305, 39373]
[23259, 19209]
[54593, 92037]
[17703, 38856]
[37705, 71071]
[28070, 13633]
[30146, 28371]
[26566, 24568]
[43597, 16839]
[43769, 73223]
[16472, 12088]
[22381, 21650]
[56061, 33935]
[61090, 50729]
[54583, 61849]
[42503, 22271]
[6536, 2407]
[60292, 19106]
[15070, 12014]
[31842, 22445]
[52870, 48362]
[64608, 25230]
[4053, 4335]
[21774, 19054]
[19843, 8508]
[45148, 52551]
[13711, 12658]
[39302, 81460]
[41206, 64105]
[36775, 113645]
[47087, 89785]
[56988, 58776]
[11111, 5195]
[22785, 10976]
[11184, 15421]
[38768, 88592]
[4981, 4556]
[37542, 58666]
[16555, 27764]
[33875, 94057]
[53008, 107545]
[32695, 7674]
[3916, 2088]
[23814, 23854]
[44977, 94937]
[21197, 16942]
[2894, 7027]
[53876, 100542]
[22310, 29218]
[23962, 30857]
[59184, 60832]
[4958, 10519]
[31968, 36312]
[31216, 23021]
[478, 281]
[12218, 17389]
[16856, 62215]
[60042, 30010]
[37128, 50643]
[1134, 2844]
[15093, 18523]
[42279, 44512]
[186, 297]
[8146, 16372]
[17033, 18406]
[37770, 79357]
[18870, 9422]
[49705, 33989]
[32753, 13580]
[11609, 22416]
[26417, 12177]
[43837, 82384]
[40302, 76291]
[53014, 41043]
[52826, 7462]
[11819, 12112]
[10210, 14223]
[16118, 5168]
[51050, 31233]
[57454, 107050]
[59942, 54769]
[25002, 8590]
[50051, 80378]
[53979, 33562]
[16907, 40207]
[57195, 71269]
[21237, 37577]
[20752, 39492]
[39829, 36624]
[34735, 35338]
[55771, 36164]
[29227, 80514]
[26610, 36589]
[16756, 25301]
[57516, 49657]
[51660, 30545]
[31855, 34224]
[44835, 7829]
[56325, 102993]
[56228, 52050]
[27162, 39255]
[34421, 66283]
[25638, 11731]
[18781, 19111]
[61855, 113788]
[3072, 11646]
[37236, 39405]
[61436, 77111]
[11440, 8135]
[33351, 45667]
[61138, 127000]
[50047, 34234]
[8459, 22908]
[14852, 15864]
[13187, 10623]
[26672, 22673]
[27552, 13379]
[55792, 69340]
[32886, 65183]
[41506, 62292]
[27981, 48668]
[7416, 7310]
[9659, 17199]
[31139, 10742]
[42719, 37962]
[22441, 8212]
[14440, 40572]
[4932, 4750]
[44933, 58673]
[46163, 69832]
[56248, 101168]
[52174, 94332]
[37273, 20418]
[30137, 53065]
[24064, 36184]
[27832, 22638]
[45768, 38461]
[6396, 9568]
[64463, 96445]
[20323, 54933]
[31151, 15707]
[25719, 22646]
[2015, 1566]
[45428, 48486]
[18796, 14983]
[33755, 52648]
[1701, 2148]
[14505, 32864]
[33274, 58956]
[43562, 34480]
[31567, 19991]
[51620, 40624]
[47657, 74479]
[24466, 78890]
[671, 484]
[25755, 24464]
[33444, 87597]
[38440, 93136]
[6624, 10903]
[8903, 10945]
[62144, 26897]
[53839, 44326]
[49778, 45171]
[30623, 32946]
[4903, 9138]
[2908, 6012]
[21710, 42969]
[23521, 18669]
[27394, 13245]
[4312, 8536]
[64394, 41569]
[22927, 13675]
[25569, 25998]
[4351, 2617]
[27392, 19014]
[25596, 28743]
[24164, 26012]
[121, 177]
[39515, 72563]
[62408, 66541]
[43603, 78807]
[45838, 18398]
[45114, 39988]
[32620, 23838]
[64250, 58149]
[12120, 25181]
[22585, 26165]
[24301, 34692]
[998, 910]
[57631, 58663]
[16941, 39288]
[55195, 95472]
[21821, 23412]
[46890, 51376]
[54244, 127965]
[26509, 82726]
[27381, 3714]
[7876, 8715]
[48405, 87747]
[9372, 10642]
[43341, 42512]
[65515, 113124]
[1772, 2341]
[54971, 33141]
[44079, 26501]
[13462, 21108]
[40977, 64401]
[33866, 76230]
[47029, 16169]
[58626, 20012]
[30392, 27984]
[14325, 14244]
[43864, 62590]
[44797, 11565]
[64983, 45387]
[45224, 37477]
[29903, 37577]
[30082, 73005]
[41114, 44546]
[24185, 36896]
[31381, 24647]
[6096, 6196]
[16454, 30727]
[53781, 42263]
[16183, 26904]
[56704, 34502]
[60378, 73643]
[58007, 115368]
[39169, 27212]
[1687, 3607]
[37584, 34089]
[28113, 28023]
[47682, 25859]
[25474, 23085]
[54707, 74311]
[57690, 74188]
[25642, 73473]
[21463, 9121]
[37016, 62869]
[34322, 49517]
[15403, 17811]
[10989, 12299]
[48153, 76237]
[33730, 56811]
[16811, 20867]
[56417, 90836]
[14414, 20556]
[35397, 52783]
[30716, 21355]
[22798, 30610]
[30556, 28797]
[6481, 8829]
[19251, 28704]
[40914, 79649]
[11350, 7573]
[27565, 27824]
[41047, 119320]
[40537, 48529]
[35274, 32616]
[5762, 7607]
[42304, 68655]
[46038, 52952]
[51402, 67908]
[59520, 58780]
[13357, 11179]
[17783, 35666]
[14524, 21748]
[4481, 10270]
[4822, 2373]
[56090, 40593]
[18926, 58401]
[28646, 17889]
[4719, 4904]
[27515, 37476]
[45734, 62250]
[43883, 103115]
[53634, 86454]
[43349, 59966]
[35653, 56537]
[52813, 29224]
[17988, 10996]
[16977, 21473]
[7282, 3387]
[3306, 6995]
[2710, 1900]
[30209, 42989]
[40408, 30848]
[44591, 31091]
[26826, 32757]
[43529, 49281]
[1703, 3807]
[6881, 6548]
[5564, 3892]
[35358, 85248]
[13865, 31142]
[10554, 10549]
[51389, 94644]
[6584, 15625]
[38523, 72060]
[30315, 74189]
[11478, 14383]
[41523, 98540]
[26743, 34608]
[42048, 87750]
[44159, 73368]
[14476, 20223]
[41201, 55119]
[16251, 11577]
[43216, 28267]
[22847, 40704]
[11572, 8893]
[315, 830]
[52661, 113206]
[50955, 53226]
[51872, 45228]
[28602, 36228]
[22480, 24295]
[35131, 28834]
[33266, 56064]
[3045, 1182]
[53467, 43838]
[37629, 60680]
[39142, 83311]
[32762, 22719]
[28488, 36463]
[2125, 1956]
[27512, 27802]
[14947, 23256]
[60449, 94378]
[61465, 73340]
[54904, 76672]
[16984, 16292]
[41120, 37881]
[34699, 49284]
[27316, 26005]
[57414, 81708]
[7515, 6119]
[33092, 45290]
[55086, 35638]
[18857, 21892]
[39838, 15637]
[10946, 23707]
[14451, 16409]
[47759, 88276]
[31484, 16379]
[62675, 115430]
[57403, 52508]
[33733, 74290]
[64426, 83695]
[51521, 50385]
[56151, 11767]
[27426, 10976]
[7432, 9936]
[35894, 50422]
[54416, 35009]
[64713, 130000]
[29716, 11745]
[16061, 9904]
[3191, 3409]
[18254, 65476]
[64474, 55546]
[40743, 91118]
[57764, 76338]
[41522, 84038]
[40047, 56541]
[56921, 18236]
[6801, 4738]
[24825, 44541]
[9882, 13299]
[56070, 38855]
[14377, 20457]
[20056, 60309]
[9634, 13160]
[14146, 22153]
[10031, 33867]
[17041, 12458]
[34526, 36265]
[50592, 49362]
[34455, 14334]
[7722, 9196]
[35213, 80987]
[45457, 58736]
[47796, 42149]
[19208, 13419]
[2517, 6012]
[23610, 25589]
[43830, 105581]
[57539, 50138]
[37357, 58577]
[14462, 5633]
[48854, 88910]
[34184, 21297]
[39668, 70165]
[38284, 91404]
[31586, 13595]
[58474, 23000]
[29067, 29842]
[50164, 62583]
[6095, 1969]
[34839, 37025]
[8361, 17428]
[3988, 2232]
[54363, 108393]
[20033, 15168]
[14777, 4329]
[56967, 44686]
[49191, 30763]
[39567, 46472]
[51997, 69839]
[20269, 28449]
[11468, 12542]
[24482, 10790]
[56661, 79090]
[59806, 48220]
[46115, 82782]
[45741, 96602]
[26091, 22119]
[43491, 96779]
[22102, 20852]
[6846, 3217]
[18108, 7401]
[61580, 45732]
[8212, 11147]
[31265, 16278]
[6665, 4991]
[55788, 34325]
[61903, 61933]
[10654, 17485]
[52453, 14913]
[33303, 53979]
[23725, 10302]
[3372, 7995]
[14729, 19975]
[8938, 24676]
[13500, 13822]
[48132, 51278]
[6742, 5761]
[43471, 28431]
[17269, 21611]
[3791, 3755]
[21201, 13262]
[56299, 28967]
[36705, 35913]
[59293, 98773]
[34785, 59520]
[14875, 4404]
[58125, 33067]
[42838, 99335]
[18588, 42905]
[38276, 32123]
[45225, 88982]
[37229, 98266]
[53248, 129732]
[22510, 17939]
[25418, 34608]
[3571, 7070]
[56688, 44490]
[62397, 47034]
[29133, 17821]
[18434, 29153]
[54592, 73431]
[11087, 9625]
[9270, 20026]
[30369, 22687]
[6199, 2187]
[53906, 85157]
[11285, 3935]
[61869, 61755]
[17879, 4165]
[62913, 41909]
[24181, 22139]
[971, 600]
[26652, 12294]
[57314, 105634]
[29104, 22968]
[61368, 61576]
[47373, 83107]
[40680, 28164]
[36965, 78853]
[14409, 8683]
[5463, 10864]
[57498, 48318]
[43901, 83865]
[64186, 66384]
[65108, 74344]
[16657, 9158]
[21838, 39107]
[49489, 44003]
[50475, 65429]
[1367, 938]
[37333, 37113]
[16804, 25666]
[43588, 53133]
[48165, 75535]
[39019, 86131]
[3567, 1534]
[38127, 54612]
[24056, 104368]
[52608, 39309]
[23903, 31613]
[63143, 31418]
[61240, 40262]
[32985, 47307]
[63911, 29158]
[15854, 21350]
[4775, 19871]
[47801, 43195]
[14181, 20189]
[57841, 75068]
[912, 802]
[22428, 23739]
[18790, 50783]
[51600, 50450]
[38240, 61086]
[7491, 5492]
[10461, 24569]
[51603, 47160]
[53762, 43915]
[10226, 9812]
[8967, 10128]
[10686, 12538]
[49559, 46568]
[25007, 61905]
[49441, 42009]
[26310, 24187]
[38385, 44178]
[14335, 8681]
[60147, 121385]
[20270, 65003]
[45501, 32308]
[12810, 18356]
[24390, 42443]
[55893, 72338]
[56496, 52430]
[42320, 129116]
[5, 5]
[22726, 27662]
[5094, 5164]
[6509, 3793]
[14418, 18528]
[56460, 101933]
[24870, 12118]
[26541, 32343]
[63013, 75138]
[54345, 130973]
[60541, 46247]
[51758, 63983]
[8998, 50958]
[1626, 2315]
[26242, 38537]
[8978, 12993]
[34963, 27049]
[28540, 33177]
[63793, 89085]
[23925, 36056]
[7993, 9471]
[56157, 27711]
[24336, 76607]
[59066, 39574]
[43431, 68210]
[30159, 35758]
[47284, 27051]
[6252, 4253]
[47346, 76018]
[34966, 90649]
[23090, 24275]
[51569, 97594]
[38478, 41093]
[54945, 41781]
[18861, 22330]
[11016, 6820]
[10214, 5423]
[52988, 90121]
[25974, 18913]
[16314, 12574]
[37570, 77678]
[21237, 41927]
[64505, 113905]
[35660, 44440]
[35113, 28658]
[61386, 41697]
[34687, 84369]
[3547, 1455]
[19836, 36497]
[15511, 21069]
[26421, 30699]
[19869, 18485]
[37393, 33193]
[42165, 60023]
[19955, 29504]
[26975, 24472]
[11486, 15645]
[20783, 27556]
[27279, 24175]
[28545, 13421]
[21961, 61998]
[28241, 21006]
[32856, 21347]
[1319, 2083]
[19212, 21051]
[53447, 45179]
[51508, 98341]
[25885, 48563]
[36500, 48733]
[17414, 20293]
[17026, 42277]
[63336, 86942]
[10314, 9494]
[56764, 64876]
[472, 249]
[4384, 2671]
[46238, 56068]
[46871, 44450]
[30386, 14741]
[20774, 50899]
[60117, 78259]
[43958, 42187]
[57913, 53137]
[18695, 31316]
[49968, 19083]
[58425, 24307]
[16242, 13822]
[17144, 27639]
[36162, 27344]
[34455, 25112]
[4175, 4360]
[61182, 48897]
[651, 1213]
[50532, 109916]
[21522, 35949]
[23069, 35550]
[54253, 112715]
[4650, 11958]
[20536, 38070]
[11300, 8627]
[58288, 51565]
[50820, 54636]
[60259, 32796]
[44670, 49825]
[52078, 69696]
[775, 2117]
[45655, 65732]
[17303, 12692]
[58295, 57423]
[63562, 48926]
[27551, 29748]
[14077, 5391]
[51686, 70687]
[41048, 19589]
[7602, 2614]
[64843, 88057]
[26155, 50804]
[63713, 127077]
[62295, 96592]
[23497, 27683]
[59756, 44196]
[29945, 25859]
[36781, 73129]
[31238, 6635]
[30732, 19410]
[60367, 97497]
[30929, 18998]
[32014, 36952]
[29472, 24655]
[17540, 35340]
[32495, 47006]
[43747, 72754]
[54855, 70165]
[64080, 70751]
[912, 918]
[17690, 26593]
[50228, 67869]
[37643, 48044]
[58340, 90554]
[19926, 34400]
[17068, 21449]
[58315, 108346]
[46996, 71877]
[64422, 71773]
[31476, 47323]
[14921, 13549]
[30696, 18850]
[31913, 49911]
[53337, 60937]
[57859, 66736]
[65303, 73132]
[4142, 14245]
[64525, 63328]
[21396, 36175]
[59144, 11874]
[42708, 68504]
[33610, 96137]
[45910, 110554]
[60879, 75919]
[62612, 74016]
[36005, 52238]
[44905, 72750]
[40157, 19864]
[22611, 8279]
[37303, 61975]
[1690, 2970]
[43208, 92751]
[30697, 18846]
[20480, 41546]
[51668, 21605]
[58070, 56361]
[31102, 43724]
[26791, 34987]
[3755, 2686]
[46213, 90454]
[36500, 23666]
[1279, 1730]
[39757, 105619]
[17424, 31370]
[58809, 91167]
[13186, 19548]
[35745, 38659]
[6819, 14911]
[10064, 25876]
[4563, 8929]
[16882, 18003]
[27402, 25859]
[53558, 46359]
[4991, 4524]
[65227, 36089]
[25005, 60794]
[44304, 48961]
[53898, 56385]
[54500, 22020]
[46665, 79649]
[64126, 69500]
[36977, 91823]
[1211, 2847]
[37161, 128772]
[58428, 42203]
[48122, 54206]
[51889, 32998]
[2016, 3696]
[39739, 69867]
[13531, 10404]
[61156, 88694]
[13220, 9134]
[23958, 20393]
[6106, 6539]
[27779, 43652]
[21872, 32100]
[12260, 10367]
[38382, 46301]
[65371, 39126]
[60328, 95823]
[58837, 95425]
[46407, 26558]
[26206, 33825]
[20421, 46010]
[58050, 62958]
[24997, 23426]
[39370, 43763]
[18452, 57026]
[3008, 3197]
[35573, 43486]
[4611, 3955]
[36878, 19718]
[63063, 70926]
[11682, 25706]
[64829, 66784]
[59847, 82967]
[1992, 1679]
[54737, 69283]
[34886, 32603]
[53375, 74165]
[16868, 21271]
[62538, 82919]
[61500, 63198]
[20774, 23762]
[60266, 43119]
[31858, 16408]
[49810, 71449]
[60183, 111098]
[9667, 12891]
[44189, 57500]
[29879, 19173]
[47089, 20396]
[48703, 69899]
[61053, 66029]
[35642, 40897]
[62392, 73303]
[18217, 29614]
[16978, 41043]
[700, 746]
[43090, 32050]
[8508, 11530]
[37541, 38912]
[2356, 5625]
