p_miss,adv_frac,strategy,metric,mean,ci
0.2,0.5,invalid,tps,0.006372893230224822,4.2585312966841326e-05
0.2,0.5,fake,tps,0.006372893230224822,4.2585312966841326e-05
0.2,0.6,self,tps,0.00636035925407042,4.240598193890417e-05
0.2,0.6,random,tps,0.00636035925407042,4.240598193890417e-05
0.2,0.6,withhold,tps,0.00636035925407042,4.240598193890417e-05
0.2,0.6,invalid,tps,0.00636035925407042,4.240598193890417e-05
0.2,0.6,fake,tps,0.00636035925407042,4.240598193890417e-05
0.2,0.7,self,tps,0.006347313856274025,4.227831182795609e-05
0.2,0.7,random,tps,0.006347313856274025,4.227831182795609e-05
0.2,0.7,withhold,tps,0.006347313856274025,4.227831182795609e-05
0.2,0.7,invalid,tps,0.006347313856274025,4.227831182795609e-05
0.2,0.7,fake,tps,0.006347313856274025,4.227831182795609e-05
0.2,0.8,self,tps,0.006334537530853569,4.2084677538118586e-05
0.2,0.8,random,tps,0.006334537530853569,4.2084677538118586e-05
0.2,0.8,withhold,tps,0.006334537530853569,4.2084677538118586e-05
0.2,0.8,invalid,tps,0.006334537530853569,4.2084677538118586e-05
0.2,0.8,fake,tps,0.006334537530853569,4.2084677538118586e-05
0.2,0.9,self,tps,0.006321528107778461,4.200941171776575e-05
0.2,0.9,random,tps,0.006321528107778461,4.200941171776575e-05
0.2,0.9,withhold,tps,0.006321528107778461,4.200941171776575e-05
0.2,0.9,invalid,tps,0.006321528107778461,4.200941171776575e-05
0.2,0.9,fake,tps,0.006321528107778461,4.200941171776575e-05
